استان,شهرستان,نام شهر,کد استان,کد  شهرستان,کدشهر
تهران,تهران,تهران,10,100,10000
تهران,تهران,کن,10,100,10002
تهران,تهران,بومهن,10,100,10003
تهران,دماوند,دماوند,10,101,10100
تهران,دماوند,رودهن,10,101,10101
تهران,دماوند,فيروزکوه,10,101,10102
تهران,دماوند,کيلان,10,101,10103
تهران,ورامين,ورامين,10,102,10200
تهران,ورامين,پاکدشت,10,102,10201
تهران,ورامين,پيشوا,10,102,10202
تهران,ورامين,جوادآباد,10,102,10203
تهران,ورامين,جوادآباد ورامين,10,102,10204
تهران,ورامين,قرچک,10,102,10206
تهران,ورامين,ورامين 2,10,102,10207
تهران,ورامين,جواديه ورامين,10,102,10208
تهران,اوشان,اوشان,10,103,10300
تهران,اوشان,تجريش شميرانات,10,103,10301
تهران,اوشان,رودبار قصران,10,103,10302
تهران,اوشان,لواسانات,10,103,10303
تهران,اوشان,ميگون,10,103,10304
تهران,اوشان,فشم,10,103,10305
تهران,شهر ري,شهر ري,10,104,10400
تهران,شهر ري,اسلام شهر شهرري,10,104,10401
تهران,شهر ري,کهريزک,10,104,10402
تهران,شهر ري,فشافويه,10,104,10403
تهران,شهر ري,حسن آباد شهر ري,10,104,10404
تهران,شهريار,شهريار,11,105,10500
تهران,شهريار,رباط کريم شهريار,11,105,10501
تهران,شهريار,قدس شهريار,11,105,10502
تهران,شهريار,ملارد,11,105,10503
تهران,ساوجبلاغ,ساوجبلاغ,11,106,10600
تهران,ساوجبلاغ,هشتگرد,11,106,10601
تهران,ساوجبلاغ,نظرآباد,11,106,10602
تهران,اسلامشهر,اسلامشهر,11,107,10700
قزوين,قزوين,قزوين,27,267,26700
قزوين,قزوين,آبيک,27,267,26701
قزوين,قزوين,آوج,27,267,26702
قزوين,قزوين,بوئين زهرا,27,267,26703
قزوين,قزوين,رودبار الموت,27,267,26704
قزوين,قزوين,شال,27,267,26705
قزوين,قزوين,شهر الوند,27,267,26706
قزوين,قزوين,طارم سفلي,27,267,26707
قزوين,قزوين,اسفرورين,27,267,26708
قزوين,قزوين,اقباليه,27,267,26709
قزوين,قزوين,دانسفهان,27,267,26710
قزوين,قزوين,الوند,27,267,26711
فارس,آباده,آباده,27,274,27400
فارس,آباده,بوانات آباده,27,274,27401
فارس,آباده,ده بيد آباد,27,274,27402
فارس,آباده,صغاد,27,274,27403
فارس,آباده,ايزد خواست,27,274,27405
فارس,آباده,سوريان,27,274,27406
فارس,آباده,صفا شهر,27,274,27407
مرکزي,اراک,اراک,28,280,28000
مرکزي,اراک,کميجان,28,280,28001
مرکزي,اراک,وفس اراک,28,280,28002
اصفهان,شهرضا,شهرضا,28,281,28100
اصفهان,شهرضا,دهاقان,28,281,28101
اصفهان,شهرضا,سميرم سفلي,28,281,28102
مرکزي,محلات,محلات,28,282,28200
مرکزي,محلات,نيمور,28,282,28201
مرکزي,تفرش,تفرش,28,283,28300
مرکزي,تفرش,فرمهين,28,283,28301
مرکزي,تفرش,فراهان,28,283,28302
مرکزي,خمين,خمين,28,284,28400
مرکزي,آشتيان,آشتيان,29,285,28500
مرکزي,آستانه سربند,آستانه سربند,29,286,28600
مرکزي,آستانه سربند,سربند,29,286,28601
مرکزي,آستانه سربند,شازند,29,286,28602
مرکزي,آستانه سربند,سروند,29,286,28603
مرکزي,دليجان,دليجان,29,287,28700
مرکزي,دليجان,نراق,29,287,28701
بوشهر,بندر ديلم,بندر ديلم,29,289,28900
بوشهر,بندر ديلم,بندر گناوه,29,289,28901
بوشهر,بندر ديلم,گناوه,29,289,28902
بوشهر,بندر ديلم,بندر ريگ,29,289,28903
بوشهر,بندر ديلم,بندر گاوه,29,289,28904
بوشهر,بندر کنگان,بندر کنگان,29,290,29000
بوشهر,بندر کنگان,کنگان,29,290,29001
بوشهر,بندر کنگان,جم,29,290,29002
بوشهر,بردخون,بردخون,29,291,29100
بوشهر,بردخون,بندر دير,29,291,29101
بوشهر,بردخون,دير,29,291,29102
بوشهر,خور موج,خور موج,29,292,29200
بوشهر,خور موج,دشتي,29,292,29201
بوشهر,خور موج,کاکي,29,292,29202
بوشهر,اهرم تنگستان,اهرم تنگستان,29,293,29300
بوشهر,اهرم تنگستان,تنگستان,29,293,29301
بوشهر,اهرم تنگستان,دلوار,29,293,29302
بوشهر,اهرم تنگستان,ساحلي,29,293,29303
بوشهر,بندر بوشهر,بندر بوشهر,29,294,29400
بوشهر,بندر بوشهر,خارک,29,294,29401
بوشهر,دشتستان,دشتستان,30,296,29600
بوشهر,دشتستان,برازجان,30,296,29601
بوشهر,دشتستان,سعدآباد,30,296,29602
بوشهر,دشتستان,شبانکاره دشتستان,30,296,29603
اصفهان,اصفهان,اصفهان,30,300,30000
اصفهان,اصفهان,جرقويه,30,300,30001
اصفهان,اصفهان,رهنان,30,300,30002
اصفهان,اصفهان,خوراسگان,30,300,30003
اصفهان,اصفهان,نيک آباد اصفهان,30,300,30004
اصفهان,اصفهان,کوهپايه,30,300,30006
اصفهان,اصفهان,ورزنه,30,300,30008
اصفهان,اصفهان,هرند,30,300,30009
اصفهان,اصفهان,ميمه,30,300,30010
اصفهان,اصفهان,بنرود,30,300,30011
اصفهان,اصفهان,جلگه,30,300,30012
اصفهان,خوانسار,خوانسار,30,301,30100
اصفهان,گلپايگان,گلپايگان,30,302,30200
اصفهان,نطنز,بادرود نطنز,30,302,30201
اصفهان,نطنز,گوگد,30,302,30202
اصفهان,نطنز,نطنز,30,303,30300
اصفهان,نائين,خورو بيابانک,30,304,30400
اصفهان,نائين,نائين,30,304,30401
اصفهان,زرين شهر,باغ بهادران,31,305,30500
اصفهان,زرين شهر,زرين شهر,31,305,30501
اصفهان,زرين شهر,سده,31,305,30502
اصفهان,زرين شهر,لنجان,31,305,30503
اصفهان,زرين شهر,چرمهين,31,305,30504
اصفهان,زرين شهر,چمگران,31,305,30505
اصفهان,زرين شهر,ورنامخواست,31,305,30506
اصفهان,زرين شهر,فولادشهر,31,305,30507
اصفهان,چادگان,چادگان,31,308,30800
اصفهان,چادگان,بوئين و مياندشت و فريدن,31,308,30801
اصفهان,چادگان,داران,31,308,30802
اصفهان,چادگان,فريدون,31,308,30803
اصفهان,چادگان,فريدن,31,308,30804
اصفهان,اردستان,اردستان,31,309,30900
اصفهان,اردستان,زواره,31,309,30901
اصفهان,اردستان,زواره اردستان,31,309,30902
اصفهان,سميرم عليا,سميرم عليا,31,310,31000
اصفهان,سميرم عليا,پادنا,31,310,31001
اصفهان,فريدون شهر,فريدون شهر,31,312,31200
اصفهان,فلاور جان,فلاور جان,31,313,31300
اصفهان,فلاور جان,قهدريجان,31,313,31301
اصفهان,فلاور جان,کليشا دوسورجوجه,31,313,31302
اصفهان,خميني شهر,خميني شهر,31,314,31400
اصفهان,خميني شهر,درچه پياز خميني شهر,31,314,31401
اصفهان,خميني شهر,کوشک,31,314,31402
اصفهان,شاهين شهر,شاهين شهر,32,315,31500
اصفهان,شاهين شهر,برخوار ميمه,32,315,31501
اصفهان,شاهين شهر,حبيب آباد,32,315,31502
اصفهان,شاهين شهر,خورزوق,32,315,31503
اصفهان,شاهين شهر,دستگرد,32,315,31504
اصفهان,شاهين شهر,دولت آباد,32,315,31505
اصفهان,شاهين شهر,گز,32,315,31506
اصفهان,شاهين شهر,وزوان,32,315,31507
اصفهان,مبارکه,مبارکه,32,316,31600
اصفهان,مبارکه,ديزچه,32,316,31601
هرمزگان,بندر عباس,بندر عباس,32,324,32400
هرمزگان,بندر عباس,فين,32,324,32401
هرمزگان,بندر عباس,سعادت آباد بندر عباس,32,324,32402
هرمزگان,بندر عباس,خيبر,32,324,32403
هرمزگان,بندر عباس,خمير,32,324,32404
هرمزگان,بندر عباس,بندر خمير,32,324,32405
هرمزگان,کيش,کيش,33,325,32500
هرمزگان,کيش,بستک,33,325,32501
هرمزگان,کيش,بندر کنگ,33,325,32502
هرمزگان,کيش,بندرلنگه,33,325,32503
هرمزگان,کيش,گاوبندي,33,325,32504
هرمزگان,کيش,شيبکوه,33,325,32505
هرمزگان,کيش,جزيره کيش,33,325,32506
هرمزگان,ميناب,ميناب,33,326,32600
هرمزگان,ميناب,بيابان ميناب,33,326,32601
هرمزگان,جزيره هرمز,جزيره هرمز,33,327,32700
هرمزگان,جزيره هرمز,شهاب,33,327,32701
هرمزگان,جزيره هرمز,قشم,33,327,32702
هرمزگان,جزيره هرمز,هرمز,33,327,32703
هرمزگان,ابوموسي,ابوموسي,33,328,32800
هرمزگان,ابوموسي,تنب,33,328,32801
هرمزگان,دهبارز,دهبارز,33,329,32900
هرمزگان,دهبارز,رودان,33,329,32901
هرمزگان,بشاگرد,بشاگرد,33,330,33000
هرمزگان,بشاگرد,بندر جاسک,33,330,33001
هرمزگان,بشاگرد,جاسک,33,330,33002
هرمزگان,حاجي آباد بندرعباس,حاجي آباد بندرعباس,33,331,33100
يزد,يزد,يزد,35,350,35000
يزد,يزد,اشگذريزد,35,350,35001
يزد,يزد,خضر آباد,35,350,35002
يزد,يزد,زارچ,35,350,35003
يزد,يزد,حميديا,35,350,35004
يزد,يزد,شاهديه,35,350,35005
يزد,اردکان يزد,اردکان يزد,35,351,35100
يزد,اردکان يزد,خرانق,35,351,35101
يزد,تفت,تفت,35,352,35200
يزد,تفت,ابرکوه,35,352,35201
يزد,تفت,نير,35,352,35202
يزد,تفت,نيرتفت,35,352,35203
يزد,بافق,بافق,35,353,35300
يزد,بافق,بهاباد بافق,35,353,35301
يزد,مروست,مروست,35,354,35400
يزد,مروست,مهريز,35,354,35401
يزد,مروست,هرات,35,354,35402
يزد,ميبد,ميبد,36,355,35500
خوزستان,بهبهان,بهبهان,36,364,36400
خوزستان,بهبهان,آغاجاري,36,364,36401
خوزستان,بهبهان,زيدون,36,364,36402
گيلان,رشت,رشت,37,370,37000
گيلان,رشت,خشکبيجار,37,370,37001
گيلان,رشت,خمام,37,370,37002
گيلان,رشت,سنگر,37,370,37003
گيلان,رشت,لشت نشاء,37,370,37004
گيلان,رشت,کوچصفهان,37,370,37005
گيلان,آستارا,آستارا,37,372,37200
گيلان,رودبار,رودبار,37,373,37300
گيلان,رودبار,عمارلو,37,373,37301
گيلان,رودبار,لوشان,37,373,37302
گيلان,رودبار,جيرنده,37,373,37303
گيلان,رودبار,رستم آباد,37,373,37304
گيلان,رودبار,منجيل,37,373,37305
گيلان,فومن,فومن,37,374,37400
گيلان,فومن,شفت,37,374,37401
گيلان,فومن,ماسوله,37,374,37402
گيلان,تالش,تالش,38,375,37500
گيلان,تالش,پره سر,38,375,37501
گيلان,تالش,تالش دولاب,38,375,37502
گيلان,تالش,رضوان شهر,38,375,37503
گيلان,تالش,طوالش,38,375,37504
گيلان,تالش,هشتپر,38,375,37505
گيلان,تالش,ماسال شاندرمن,38,375,37506
گيلان,صومعه سرا,صومعه سرا,38,377,37700
گيلان,صومعه سرا,تولم,38,377,37701
گيلان,صومعه سرا,مرجقل,38,377,37702
گيلان,آستانه اشرفيه,آستانه اشرفيه,38,378,37800
گيلان,آستانه اشرفيه,کياشهر,38,378,37801
خراسان جنوبي,بيرجند,بيرجند,38,384,38400
خراسان جنوبي,بيرجند,خوسف,38,384,38401
خراسان جنوبي,بيرجند,درميان,38,384,38402
خراسان جنوبي,بيرجند,سر بيشه,38,384,38403
گيلان,لاهيجان,لاهيجان,39,392,39200
گيلان,لاهيجان,سياهکل,39,392,39201
خراسان رضوي,تربت حيدريه,تربت حيدريه,39,394,39400
خراسان رضوي,تربت حيدريه,بابک تربت حيدريه,39,394,39401
خراسان رضوي,تربت حيدريه,رشتخوار,39,394,39402
خراسان رضوي,تربت حيدريه,کدکن,39,394,39403
خراسان رضوي,تربت حيدريه,جلگه زاوه,39,394,39404
خراسان رضوي,تربت حيدريه,دولت آباد تربت حيدريه,39,394,39405
خراسان رضوي,تربت حيدريه,فيض آباد,39,394,39406
گيلان,بندر انزلي,بندر انزلي,40,395,39500
گيلان,لنگرود,لنگرود,40,403,40300
گيلان,لنگرود,کومله,40,403,40301
گيلان,لنگرود,شلمان,40,403,40302
فارس,جهرم,باب انار جهرم,40,404,40400
فارس,جهرم,جهرم,40,404,40401
فارس,جهرم,خاوران جهرم,40,404,40402
فارس,جهرم,خفر جهرم,40,404,40403
فارس,جهرم,سيمکان,40,404,40404
فارس,جهرم,قطب آباد,40,404,40405
گيلان,رودسر,رودسر,41,407,40700
گيلان,رودسر,املش,41,407,40701
گيلان,رودسر,چابکسر,41,407,40702
گيلان,رودسر,رحيم آباد رودسر,41,407,40703
گيلان,رودسر,کلاچاي,41,407,40704
گيلان,رودسر,واجارگاه,41,407,40705
لرستان,خرم آباد,خرم آباد,42,424,42400
لرستان,خرم آباد,پاپي,42,424,42403
لرستان,خرم آباد,چغلوندي,42,424,42405
لرستان,خرم آباد,دوره چگيني,42,424,42406
لرستان,خرم آباد,ملاوي,42,424,42407
لرستان,خرم آباد,ويسيان,42,424,42408
لرستان,خرم آباد,زاغه,42,424,42409
لرستان,اليگودرز,اليگودرز,43,425,42500
لرستان,اليگودرز,ززو ماهرو,43,425,42501
لرستان,اليگودرز,چاپلق,43,425,42502
لرستان,کوهدشت,کوهدشت,43,426,42600
لرستان,دورود,دورود,43,427,42700
لرستان,نورآباد لرستان,نورآباد لرستان,43,428,42800
لرستان,نورآباد لرستان,دلفان,43,428,42801
لرستان,نورآباد لرستان,نور آباد,43,428,42802
لرستان,ازنا,ازنا,43,429,42900
لرستان,الشتر خرم آباد,الشتر خرم آباد,43,430,43000
لرستان,الشتر خرم آباد,سلسله لرستان,43,430,43001
لرستان,پلدختر,پلدختر,43,431,43100
خوزستان,دزفول,دزفول,43,434,43400
کرمان,رفسنجان,رفسنجان,44,444,44400
کرمان,رفسنجان,انار رفسنجان,44,444,44401
آذربايجان شرقي,تبريز,تبريز,45,450,45000
آذربايجان شرقي,تبريز,اسکو,45,450,45001
آذربايجان شرقي,تبريز,آذرشهر,45,450,45002
آذربايجان شرقي,تبريز,ارسباران,45,450,45003
آذربايجان شرقي,تبريز,ابلخچي,45,450,45004
آذربايجان شرقي,تبريز,باسمنج,45,450,45005
آذربايجان شرقي,تبريز,خامنه,45,450,45007
آذربايجان شرقي,تبريز,خسرو شهر,45,450,45008
آذربايجان شرقي,تبريز,سردرود,45,450,45009
آذربايجان شرقي,تبريز,گاوکان,45,450,45012
آذربايجان شرقي,تبريز,ممقان,45,450,45013
آذربايجان شرقي,تبريز,مهربان,45,450,45014
آذربايجان شرقي,تبريز,سيسن,45,450,45015
آذربايجان شرقي,تبريز,کاوکان,45,450,45016
آذربايجان شرقي,ميانه,ميانه,45,451,45100
آذربايجان شرقي,ميانه,ترکمانچاي,45,451,45101
آذربايجان شرقي,ميانه,کاغذ کنان,45,451,45102
آذربايجان شرقي,اهر,اهر,45,452,45200
آذربايجان شرقي,اهر,خدا آفرين,45,452,45201
آذربايجان شرقي,اهر,ورزقان,45,452,45203
آذربايجان شرقي,اهر,هوراند,45,452,45205
اردبيل,خلخال,خلخال,45,453,45300
اردبيل,خلخال,سنجيده,45,453,45301
اردبيل,خلخال,گيوي,45,453,45302
اردبيل,خلخال,خورش رستم,45,453,45303
اردبيل,خلخال,هشتجين خلخال,45,453,45304
اردبيل,خلخال,کلور خلخال,45,453,45305
آذربايجان شرقي,سراب,سراب,45,454,45400
آذربايجان شرقي,مرند,مرند,46,455,45500
آذربايجان شرقي,مرند,جلفا,46,455,45501
آذربايجان شرقي,مرند,زنوز,46,455,45502
آذربايجان شرقي,مرند,هادي شهر مرند,46,455,45503
آذربايجان شرقي,مرند,هادي شهر,46,455,45504
آذربايجان شرقي,مرند,کشک سراي,46,455,45505
اردبيل,پارس آباد,پارس آباد,46,456,45600
اردبيل,پارس آباد,دشت مغان,46,456,45601
اردبيل,پارس آباد,مغان,46,456,45602
اردبيل,پارس آباد,گرمي,46,456,45603
اردبيل,پارس آباد,انگوت,46,456,45604
اردبيل,مشکين شهر,مشکين شهر,46,457,45700
اردبيل,مشکين شهر,ارشق,46,457,45701
آذربايجان شرقي,هشترود,چهار اويماق,46,458,45800
آذربايجان شرقي,هشترود,هشترود,46,458,45801
آذربايجان شرقي,هشترود,قره آغاج,46,458,45802
آذربايجان شرقي,بناب,بناب,46,459,45900
آذربايجان شرقي,بناب,عجب شير,46,459,45901
آذربايجان شرقي,بناب,ملکان,46,459,45902
آذربايجان شرقي,سلماس,سلماس,46,460,46000
آذربايجان شرقي,سلماس,شبستر,46,460,46001
آذربايجان شرقي,سلماس,بندر شرفخانه,46,460,46002
آذربايجان شرقي,سلماس,خامنه شبستر,46,460,46003
آذربايجان شرقي,سلماس,سيس شبستر,46,460,46004
آذربايجان شرقي,سلماس,شرفخانه شبستر,46,460,46005
آذربايجان شرقي,سلماس,شنه آباد شبستر,46,460,46006
آذربايجان شرقي,سلماس,صوفيان,46,460,46007
آذربايجان شرقي,سلماس,طسوج,46,460,46008
آذربايجان شرقي,بستان آباد,بستان آباد,46,461,46100
آذربايجان شرقي,بستان آباد,تيکمه داش,46,461,46101
آذربايجان شرقي,کليبر,کليبر,46,462,46200
آذربايجان شرقي,هريس,هريس,46,463,46300
آذربايجان شرقي,هريس,خواجه هريس,46,463,46301
آذربايجان شرقي,هريس,زرنق هريس,46,463,46302
زنجان,زنجان,زنجان,46,464,46400
زنجان,زنجان,طارم عليا,46,464,46401
زنجان,زنجان,ماه نشان,46,464,46402
زنجان,زنجان,انگوران,46,464,46403
زنجان,ابهر,ابهر,47,465,46500
زنجان,ابهر,خرم دره,47,465,46501
زنجان,ابهر,سلطانيه,47,465,46502
زنجان,ابهر,صائين قلعه,47,465,46503
زنجان,ابهر,هيدج,47,465,46504
زنجان,خدا بنده,خدا بنده,47,466,46600
زنجان,خدا بنده,قيدار,47,466,46601
زنجان,خدا بنده,افشاريه,47,466,46602
زنجان,خدا بنده,بزينه رود,47,466,46603
قزوين,تاکستان,تاکستان,47,467,46700
قزوين,تاکستان,ضياء آباد,47,467,46701
مرکزي,ساوه,ساوه,47,474,47400
مرکزي,ساوه,خرقان,47,474,47401
مرکزي,ساوه,زاويه,47,474,47402
مرکزي,ساوه,زرند ساوه,47,474,47403
مرکزي,ساوه,غرق آباد,47,474,47404
مرکزي,ساوه,مامونيه,47,474,47405
مرکزي,ساوه,نوبران ساوه,47,474,47406
خراسان رضوي,سبزوار,سبزوار,48,484,48400
خراسان رضوي,سبزوار,جغتاي,48,484,48401
خراسان رضوي,سبزوار,داورزن,48,484,48402
خراسان رضوي,سبزوار,جوين,48,484,48403
خراسان رضوي,سبزوار,نقاب,48,484,48404
اردبيل,اردبيل,اردبيل,49,485,48500
اردبيل,اردبيل,سرعين,49,485,48501
اردبيل,اردبيل,کلخوران,49,485,48502
اردبيل,اردبيل,نمين,49,485,48503
اردبيل,اردبيل,نير اردبيل,49,485,48504
اردبيل,پيله سوار,پيله سوار,49,486,48600
اردبيل,پارس آباد مغان,پارس آباد مغان,49,487,48700
اردبيل,پارس آباد مغان,اصلاندوز,49,487,48701
کردستان,کامياران,کامياران,49,493,49300
کردستان,سقز,سقز,49,494,49400
کردستان,بيجار,بيجار,50,499,49900
کردستان,بيجار,گروس,50,499,49901
کردستان,بيجار,ياسوکند,50,499,49902
کردستان,دهگلان,دهگلان,50,501,50100
کردستان,دهگلان,سريش آباد,50,501,50101
کردستان,دهگلان,قروه,50,501,50102
کردستان,بانه,بانه,50,502,50200
کردستان,بانه,آلوت بانه,50,502,50201
کردستان,بانه,نمشير,50,502,50202
کردستان,بانه,ننور,50,502,50203
کردستان,مريوان,مريوان,50,503,50300
کردستان,سنندج,سنندج,50,504,50401
کردستان,سنندج,ميرانشاه,50,504,50403
آذربايجان شرقي,مراغه,مراغه,51,507,50700
آذربايجان غربي,اشنريه,اشنريه,51,509,50900
آذربايجان غربي,اشنريه,محمديار,51,509,50901
آذربايجان غربي,اشنريه,نقده,51,509,50902
آذربايجان غربي,اشنريه,اشنويه,51,509,50903
آذربايجان غربي,اروميه,اروميه,51,510,51000
آذربايجان غربي,اروميه,انزل اروميه,51,510,51001
آذربايجان غربي,اروميه,سيلوانه,51,510,51002
آذربايجان غربي,اروميه,صوماي برادوست,51,510,51003
آذربايجان غربي,اروميه,نوشين,51,510,51004
آذربايجان غربي,اروميه,قوشچي,51,510,51005
آذربايجان غربي,پيرانشهر,پيرانشهر,51,511,51100
آذربايجان غربي,پلدشت,پلدشت,51,512,51200
آذربايجان غربي,پلدشت,پلشت ماکو,51,512,51201
آذربايجان غربي,پلدشت,سيه چشمه,51,512,51202
آذربايجان غربي,پلدشت,شوط,51,512,51203
آذربايجان غربي,پلدشت,ماکو,51,512,51204
آذربايجان غربي,پلدشت,پاشت ماکو,51,512,51205
آذربايجان غربي,سردشت,سردشت,51,513,51300
کرمانشاه,اسلام آباد غرب,اسلام آباد غرب,52,524,52400
کرمانشاه,اسلام آباد غرب,کرند,52,524,52402
آذربايجان غربي,خوي,خوي,53,526,52600
آذربايجان غربي,خوي,چايپاره,53,526,52601
آذربايجان غربي,خوي,چايباره,53,526,52602
